Property_ID,Suburb,Address,Sale_Price_AUD,Sale_Date,Bedrooms,Bathrooms,Parking,Land_Size_m2,Property_Type,Sale_Method,Source_URL,Notes
B001,Blacktown,"7 Highlands Crescent, Blacktown NSW 2148",1135000,2026-09-15,3,2,4,765,house,,"https://www.realestate.com.au/sold/property-house-in-blacktown,%2Bnsw%2B2148/list-1?activeSort=solddate&includeSurrounding=false&maxSoldAge=12-https://www.realestate.com.au/sold/property-house-in-blacktown,%2Bnsw%2B2148/list-1?activeSort=solddate&includeSurrounding=false&maxSoldAge=12-month",
B002,Blacktown,"81 Reservoir Road, Blacktown NSW 2148",1105000,2026-09-15,4,2,2,,house,,"https://www.realestate.com.au/sold/property-house-in-blacktown,%2Bnsw%2B2148/list-1?activeSort=solddate&includeSurrounding=false&maxSoldAge=12-https://www.realestate.com.au/sold/property-house-in-blacktown,%2Bnsw%2B2148/list-1?activeSort=solddate&includeSurrounding=false&maxSoldAge=12-month",
B003,Blacktown,"4 & 4A Joseph Street, Blacktown NSW 2148",1340000,2026-09-14,5,2,1,713,house,,"https://www.realestate.com.au/sold/property-house-in-blacktown,%2Bnsw%2B2148/list-1?activeSort=solddate&includeSurrounding=false&maxSoldAge=12-https://www.realestate.com.au/sold/property-house-in-blacktown,%2Bnsw%2B2148/list-1?activeSort=solddate&includeSurrounding=false&maxSoldAge=12-month",
B004,Blacktown,"42 Burke Street, Blacktown NSW 2148",1260000,2026-09-11,5,3,6,,house,,"https://www.realestate.com.au/sold/property-house-in-blacktown,%2Bnsw%2B2148/list-1?activeSort=solddate&includeSurrounding=false&maxSoldAge=12-https://www.realestate.com.au/sold/property-house-in-blacktown,%2Bnsw%2B2148/list-1?activeSort=solddate&includeSurrounding=false&maxSoldAge=12-month",
B005,Blacktown,"52 Balmoral Street, Blacktown NSW 2148",1300000,2026-09-08,4,1,1,696.77,house,,"https://www.realestate.com.au/sold/property-house-in-blacktown,%2Bnsw%2B2148/list-1?activeSort=solddate&includeSurrounding=false&maxSoldAge=12-https://www.realestate.com.au/sold/property-house-in-blacktown,%2Bnsw%2B2148/list-1?activeSort=solddate&includeSurrounding=false&maxSoldAge=12-month",
B006,Blacktown,"17 St Pauls Way, Blacktown NSW 2148",828000,2026-09-15,3,2,1,,townhouse ,private treaty ,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/,
B007,Blacktown,"3/28 Frederick Street, Blacktown NSW 2148",732500,2026-09-14,2,1,1,,townhouse ,private treaty ,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/,
B008,Blacktown,"20/5-9 Fourth Avenue, Blacktown NSW 2148",441000,2026-09-10,2,1,1,,Apartment ,private treaty ,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/,
B009,Blacktown,"36/2-4 Fourth Avenue, Blacktown NSW 2148",415000,2026-09-10,2,1,1,103,unit ,private treaty ,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/,
B010,Blacktown,"13/8-18 Wallace Street, Blacktown NSW 2148",463000,2026-09-09,2,2,1,,apartment ,private treaty ,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/,
